zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
MWA,P201753,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,5,29.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201752,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,2,25.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201827,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,Jiří Kříž,,1;6,24.4.1991,,,Evropa,,,MP hudba se zpěvem,mezinárodní pás,,,hudba; zpěv,yes,
MWA,P204341,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,3;4,,,,Přepisové studio,,,mez pas ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204342,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,9;10,,,,Přepisové studio,,,mez. pás hudba,mezinárodní pás,,,hudba,no,
MWA,P204339,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,1;2,,,,Přepisové studio,,,mez pas ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204340,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,7;8,,,,Přepisové studio,,,mez pas ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204232,Oběť pro kamaráda,Oběť pro kamaráda,Oběť pro kamaráda,metal can,35 mm,ORWO,Ing. Astrug,Bejnamin Astrug,10,18.4.1984,,,,,,mez mix,mezinárodní pás,,,,no,
MWA,P204374,"Od Mendelova hrachu ke klonování, genetika","Od Mendelova hrachu ke klonování, genetika",Genetika od Mendelova hrachu ke klonování,metal can,35 mm,Orwo 202,,#N/A,3,,,,,,,mix,mix,,,,no,
MWA,P204370,"Od Mendelova hrachu ke klonování, genetika","Od Mendelova hrachu ke klonování, genetika",Genetika od Mendelova hrachu ke klonování,metal can,35 mm,Orwo 202,,#N/A,3,,,,,,,mix,mix,,,,no,
MWA,P204371,"Od Mendelova hrachu ke klonování, genetika","Od Mendelova hrachu ke klonování, genetika",Genetika od Mendelova hrachu ke klonování,metal can,35 mm,Orwo 202,,#N/A,1;2,,,,,,,mix,mix,,,,no,
